TransactionDate	Input	Output	Stock
2024-04-30	280	488	2127
2024-05-01	702	0	2829
2024-05-02	0	0	2829
2024-05-03	0	0	2829
2024-05-04	0	0	2829
2024-05-05	0	0	2829
2024-05-06	0	0	2829
2024-05-07	0	0	2829
2024-05-08	0	82	2747
2024-05-09	1360	0	4107
2024-05-10	0	0	4107
2024-05-11	0	0	4107
2024-05-12	0	0	4107
2024-05-13	0	0	4107
2024-05-14	0	0	4107
2024-05-15	0	0	4107
2024-05-16	200	509	3798
2024-05-17	720	1100	3418
2024-05-18	0	0	3418
2024-05-19	0	0	3418
2024-05-20	0	0	3418
2024-05-21	280	453	3245
2024-05-22	1745	0	4990
2024-05-23	280	840	4430
2024-05-24	420	1105	3745
2024-05-25	700	983	3462
2024-05-26	0	0	3462
2024-05-27	460	147	3775
2024-05-28	1676	2	5449
2024-05-29	15	15	5449
2024-05-30	0	324	5125
2024-05-31	0	445	4680
2024-06-01	360	360	4680
2024-06-02	980	0	5660
2024-06-03	1078	1455	5283
2024-06-04	1020	1851	4452
2024-06-05	580	1407	3625
2024-06-06	2519	983	5161
2024-06-07	780	1465	4476
2024-06-08	240	333	4383
2024-06-09	468	0	4851
2024-06-10	845	3	5693
2024-06-11	3	3	5693
2024-06-12	0	0	5693
2024-06-13	1145	0	6838
2024-06-14	0	0	6838
2024-06-15	126	448	6516
2024-06-16	0	0	6516
2024-06-17	329	1114	5731
2024-06-18	809	1357	5183
2024-06-19	360	935	4608
2024-06-20	705	1230	4083
2024-06-21	193	120	4156
2024-06-22	0	163	3993
2024-06-23	360	441	3912
2024-06-24	1524	1463	3973
2024-06-25	480	663	3790
2024-06-26	0	149	3641
2024-06-27	433	966	3108
2024-06-28	1512	120	4500
2024-06-29	0	0	4500
2024-06-30	0	0	4500
2024-07-01	432	1266	3666
2024-07-02	600	1012	3254
2024-07-03	1235	540	3949
2024-07-04	854	687	4116
2024-07-05	360	360	4116
2024-07-06	120	461	3775
2024-07-07	120	120	3775
2024-07-08	498	1147	3126
2024-07-09	1492	155	4463
2024-07-10	250	773	3940
2024-07-11	120	120	3940
2024-07-12	2002	742	5200
2024-07-13	360	680	4880
2024-07-14	120	240	4760
2024-07-15	134	751	4143
2024-07-16	2950	1540	5553
2024-07-17	447	900	5100
2024-07-18	540	1021	4619
2024-07-19	560	1235	3944
2024-07-20	400	764	3580
2024-07-21	120	127	3573
2024-07-22	2839	1115	5297
2024-07-23	851	1801	4347
2024-07-24	680	1261	3766
2024-07-25	0	0	3766
2024-07-26	0	0	3766
2024-07-27	0	0	3766
2024-07-28	0	0	3766
2024-07-29	0	0	3766
2024-07-30	0	0	3766
2024-07-31	0	0	3766
2024-08-01	0	0	3766
2024-08-02	0	0	3766
2024-08-03	0	0	3766
2024-08-04	0	0	3766
2024-08-05	1932	993	4705
2024-08-06	442	1057	4090
2024-08-07	375	929	3536
2024-08-08	490	944	3082
2024-08-09	2079	630	4531
2024-08-10	575	927	4179
2024-08-11	0	0	4179
2024-08-12	4	366	3817
2024-08-13	1331	1315	3833
2024-08-14	1983	526	5290
2024-08-15	286	606	4970
2024-08-16	85	0	5055
2024-08-17	1353	0	6408
2024-08-18	0	0	6408
2024-08-19	0	80	6328
2024-08-20	140	380	6088
2024-08-21	822	647	6263
2024-08-22	140	301	6102
2024-08-23	289	781	5610
2024-08-24	280	280	5610
2024-08-25	0	0	5610
2024-08-26	0	53	5557
2024-08-27	0	0	5557
2024-08-28	0	40	5517
2024-08-29	2004	0	7521
2024-08-30	464	1089	6896
2024-08-31	502	826	6572
2024-09-01	0	0	6572
2024-09-02	140	274	6438
2024-09-03	0	344	6094
2024-09-04	420	1022	5492
2024-09-05	656	1449	4699
2024-09-06	265	265	4699
2024-09-07	0	0	4699
2024-09-08	1582	0	6281
2024-09-09	1	41	6241
2024-09-10	741	1500	5482
2024-09-11	140	380	5242
2024-09-12	420	805	4857
2024-09-13	140	352	4645
2024-09-14	0	0	4645
2024-09-15	0	0	4645
2024-09-16	0	0	4645
2024-09-17	0	0	4645
2024-09-18	0	0	4645
2024-09-19	280	733	4192
2024-09-20	420	903	3709
2024-09-21	280	360	3629
2024-09-22	0	0	3629
2024-09-23	897	0	4526
2024-09-24	4	4	4526
2024-09-25	1469	0	5995
2024-09-26	35	366	5664
2024-09-27	560	1150	5074
2024-09-28	140	140	5074
2024-09-29	0	0	5074
2024-09-30	2380	1229	6225
2024-10-01	840	1670	5395
2024-10-02	700	1426	4669
2024-10-03	280	535	4414
2024-10-04	840	0	5254
2024-10-05	1527	0	6781
2024-10-06	0	0	6781
2024-10-07	0	0	6781
2024-10-08	0	0	6781
2024-10-09	420	1041	6160
2024-10-10	700	1340	5520
2024-10-11	287	573	5234
2024-10-12	2264	433	7065
2024-10-13	0	0	7065
2024-10-14	280	826	6519
2024-10-15	700	1474	5745
2024-10-16	700	1403	5042
2024-10-17	3846	1332	7556
2024-10-18	560	1191	6925
2024-10-19	280	470	6735
2024-10-20	0	0	6735
2024-10-21	2738	1237	8236
2024-10-22	734	1574	7396
2024-10-23	1025	1820	6601
2024-10-24	700	1547	5754
2024-10-25	422	896	5280
2024-10-26	560	827	5013
2024-10-27	0	0	5013
2024-10-28	2147	522	6638
2024-10-29	1	1	6638
2024-10-30	0	0	6638
2024-10-31	1944	0	8582
2024-11-01	0	0	8582
2024-11-02	0	0	8582
2024-11-03	0	0	8582
2024-11-04	0	0	8582
2024-11-05	0	0	8582
2024-11-06	1792	0	10374
2024-11-07	0	0	10374
2024-11-08	2	2	10374
2024-11-09	1883	0	12257
2024-11-10	0	0	12257
2024-11-11	363	1129	11491
2024-11-12	2899	1608	12782
2024-11-13	609	1372	12019
2024-11-14	620	1410	11229
2024-11-15	540	1210	10559
2024-11-16	336	180	10715
2024-11-17	0	0	10715
2024-11-18	1871	1349	11237
2024-11-19	635	1228	10644
2024-11-20	365	156	10853
2024-11-21	2308	796	12365
2024-11-22	0	1231	11134
2024-11-23	720	720	11134
2024-11-24	0	0	11134
